location,num_postings,posting_ids,number_of_sweeps,geometry
Alameda Avenue between E 8th St and Howard St,8,[ 937 1314 1443 1466 1690 1773 2074 2196],8,"LINESTRING (-122.2213978 37.7681387, -122.2224762 37.768139)"
E. 12th St between 49th Ave and 50th Ave,3,[438 466 493],1,"LINESTRING (-122.211366 37.7682385, -122.2106631 37.7676667)"
High St between Oakport St and Coliseum Way,1,[ 1536 ],1,"LINESTRING (-122.219968 37.76851180000001, -122.2206201 37.7680065)"
E. 12th St between 48th Ave and 49th Ave,3,[439 467 494],1,"LINESTRING (-122.2120094 37.7687813, -122.211366 37.7682385)"
Bancroft Blvd between 67th Ave and 68th Ave,4,[ 123  914 1198 1212],4,"LINESTRING (-122.1805676 37.7692384, -122.18003545253359 37.768722023612106)"
67th Ave between Foothill Blvd and Bancroft Ave,4,[ 121  912 1195 1209],4,"LINESTRING (-122.1805676 37.7692384, -122.17982210156772 37.76972705826143, -122.17967058133344 37.76995843857032, -122.1796452 37.7701334)"
47th Ave between E.12th and San Leandro St,5,[ 450  479  505 1285 1552],3,"LINESTRING (-122.2126958 37.7693561, -122.2142213 37.7682105)"
E. 12th St between 47th Ave and 48th Ave | E 12th St between 47th Ave and 48th Ave,6,[ 440  468  495 1282 1672 1820],4,"LINESTRING (-122.2126958 37.7693561, -122.2120094 37.7687813)"
47th Avenue between East 12th & International Blvd,5,[ 451  506 1284 1589 1949],4,"LINESTRING (-122.2126958 37.7693561, -122.2111374 37.7705346)"
E. 12th St between 46th Ave and 47th Ave | E 12th St between 46th Ave and 47th Ave,9,[ 441  469  496 1283 1554 1587 1671 1798 1821],7,"LINESTRING (-122.2134168 37.7699554, -122.2126958 37.7693561)"
46th Ave between International and E12 Street,5,[ 455  483  510 1590 1669],3,"LINESTRING (-122.21342797075945 37.7699554, -122.2123953900624 37.77071738283165, -122.21214516505113 37.77081981226371, -122.21177677075946 37.7708227)"
48th Street between International Boulevard and San Leandro Street,3,[437 465 492],1,"LINESTRING (-122.21017110419524 37.7701674723883, -122.21197861643566 37.7687711402516)"
Foothill Blvd between 67th Avenue and 68th Avenue | City Lot - Foothill Blvd between 67th Avenue and 68th Avenue,6,[ 122  913 1197 1211 2027 2028],5,"LINESTRING (-122.1796452 37.7701334, -122.1774401 37.7698448)"
Wattling St between 42nd Ave and High St,4,[1476 1555 1685 1867],4,"LINESTRING (-122.21931107589967 37.770432671705144, -122.2181701 37.7698668)"
45th between E 12th St and San Leandro,3,[448 476 503],1,"LINESTRING (-122.2141279 37.7705512, -122.2156539 37.7694026)"
